,speaker,sentence,gold,cluster tokens
0,Trump,"Thank you very much, Chris.",0,thank chris
1,Trump,I will tell you very simply.,0,tell simply
2,Trump,We won the election.,1,win election
3,Trump,Elections have consequences.,1,election consequence
4,Trump,"We have the Senate, we have the White House, and we have a phenomenal nominee respected by all.",1,senate white house phenomenal nominee respect
5,Trump,"Top, top academic, good in every way.",1,academic good way
6,Trump,Good in every way.,1,good way
7,Trump,"In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places.",0,fact big endorser liberal people notre dame place
8,Trump,So I think she's going to be fantastic.,0,think go fantastic
9,Trump,We have plenty of time.,1,plenty time
10,Trump,Even if we did it after the election itself.,1,election
11,Trump,"I have a lot of time after the election, as you know.",0,lot time election know
12,Trump,So I think that she will be outstanding.,0,think outstanding
13,Trump,She's going to be as good as anybody that has served on that court.,0,go good anybody serve court
14,Trump,We really feel that.,0,feel
15,Trump,"We have a professor at Notre Dame, highly respected by all, said she's the single greatest student he's ever had.",0,professor notre dame highly respect say single great student
16,Trump,He's been a professor for a long time at a great school.,0,professor long time great school
17,Trump,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise.",1,win election right choose people knowingly
18,Trump,"And by the way, the Democrats, they wouldn't even think about not doing it.",0,way democrats think
19,Trump,The only difference is they'd try and do it faster.,0,difference try fast
20,Trump,There's no way they would give it up.,0,way
21,Trump,"They had Merrick Garland, but the problem is they didn't have the election so they were stopped.",0,merrick garland problem election stop
22,Trump,"And probably that would happen in reverse, also.",0,probably happen reverse
23,Trump,Definitely would happen in reverse.,0,definitely happen reverse
24,Trump,"So we won the election and we have the right to do it, Chris.",0,win election right chris
25,Trump,"Thank you, Joe.",0,thank joe
26,Trump,There aren't a hundred million people with pre-existing conditions.,1,million people pre existing condition
27,Trump,"As far as a say is concerned, the people already had their say.",1,far concern people
28,Trump,"Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years.",1,okay justice ginsburg say powerfully strongly point year ago say president senate elect period time president elect year
29,Trump,We're not elected for three years.,1,elect year
30,Trump,I'm not elected for three years.,0,elect year
31,Trump,"So we have the Senate, we have a President-",0,senate president
32,Trump,"During that period of time, during that period of time, we have an opening.",0,period time period time opening
33,Trump,I'm not elected for three years.,0,elect year
34,Trump,I'm elected for four years.,1,elect year
35,Trump,"Joe, the hundred million people is totally wrong.",0,joe million people totally wrong
36,Trump,I don't know where you got that number.,0,know get
37,Trump,"The bigger problem that you have is that you're going to extinguish 180 million people with their private health care, that they're very happy this.",1,big problem go extinguish million people private health care happy
38,Trump,"Well, you're certainly going to socialist.",0,certainly go socialist
39,Trump,You're going to socialist-,0,go socialist
40,Trump,That's not what you've said and it's not what your party is saying.,0,say party say
41,Trump,Your party doesn't say it.,0,party
42,Trump,Your party wants to go socialist medicine and socialist healthcare.,0,party want socialist medicine socialist healthcare
43,Trump,"And they're going to dominate you, Joe.",0,go dominate joe
44,Trump,You know that.,0,know
45,Trump,Not according to Harris.,0,accord harris
46,Trump,"Joe, you've had 308,000 military people dying because you couldn't provide them proper healthcare in the military.",0,joe military people die provide proper healthcare military
47,Trump,So don't tell me about this.,0,tell
48,Trump,"And if you were here, it wouldn't be 200, it would be two million people because you were very late on the draw.",0,million people late draw
49,Trump,"You didn't want me to ban China, which was heavily infected.",0,want ban china heavily infect
50,Trump,You didn't want me to ban Europe.,0,want ban europe
51,Trump,"You would have been much later, Joe, much later.",0,later joe later
52,Trump,We're talking about two million people.,0,talk million people
53,Trump,You don't know what's on the ballot.,0,know ballot
54,Trump,Why is it on the ballot?,0,ballot
55,Trump,Why is it on the ballot?,0,ballot
56,Trump,It's not on the ballot.,0,ballot
57,Trump,I don't think so.,0,think
58,Trump,There's nothing happening there.,0,happen
59,Trump,You don't know her view on Roe V. Wade?,0,know view roe v wade
60,Trump,You don't know here view.,0,know view
61,Trump,That's right.,0,right
62,Trump,Because they want to give good healthcare.,0,want good healthcare
63,Trump,"Yes, I have.",0,yes
64,Trump,"Of course, I have.",0,course
65,Trump,The individual mandate.,0,individual mandate
66,Trump,Excuse me.,0,excuse
67,Trump,"I got rid of the individual mandate, which was a big chunk of Obamacare.",0,get rid individual mandate big chunk obamacare
68,Trump,That is absolutely a big thing.,0,absolutely big thing
69,Trump,That was the worst part of Obamacare.,0,bad obamacare
70,Trump,"Chris, that was the worst part of Obamacare.",0,chris bad obamacare
71,Trump,"Well, I'll ask Joe.",0,ask joe
72,Trump,The individual mandate was the most unpopular aspect of Obamacare.,1,individual mandate unpopular aspect obamacare
73,Trump,I got rid of it.,1,get rid
74,Trump,And we will protect people.,1,protect people
75,Trump,Go ahead.,0,ahead
76,Trump,"Well, first of all, I guess I'm debating you, not him, but that's okay.",0,guess debate okay
77,Trump,I'm not surprised.,0,surprised
78,Trump,Let me just tell you something.,0,let tell
79,Trump,There's nothing symbolic.,1,symbolic
80,Trump,I'm cutting drug prices.,1,cut drug price
81,Trump,"I'm going with Favored Nations, which no President has the courage to do because you're going against big pharma.",1,go favored nation president courage go big pharma
82,Trump,Drug prices will be coming down 80 or 90%.,1,drug price come
83,Trump,"You could have done it during your 47 year period in government, but you didn't do it.",0,year period government
84,Trump,Nobody's done it.,0,
85,Trump,So we're cutting healthcare.,1,cut healthcare
86,Trump,All of the things that we've done.,0,thing
87,Trump,I'll give you an example.,0,example
88,Trump,"Insulin, it was destroying families, destroying people, the cost.",1,insulin destroy family destroy people cost
89,Trump,"I'm getting it for so cheap it's like water, you want to know the truth.",1,get cheap water want know truth
90,Trump,So cheap.,0,cheap
91,Trump,Take a look at all of the drugs that what we're doing.,0,look drug
92,Trump,"Prescription drug prices, we're going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",1,prescription drug price go allow governor country buy drug pay tiny fraction
93,Trump,This is big stuff.,0,big stuff
94,Trump,"That's not what your party says, by the way.",0,party say way
